title,url,company,salary,deadline,location,lien_he
"Nhân viên Kế toán, Nhân viên Kỹ thuật, Nhân viên Kinh doanh,...",https://phutho.work/nhan-vien-ke-toan-nhan-vien-ky-thuat-nhan-vien-kinh-doanh-nv-quan-ly-chat-luong-cong-ty-co-phan-dai-phan-thong-bao-tuyen-dung.html,Công ty cổ phần Đại Phan,Thoả thuận,8/10/2025 17:00,Phù Ninh,"Công ty Cổ phần Đại Phan
Địa chỉ: Tổ 2 – Khu Đá thờ – Thị trấn Phong Châu – Huyện Phù Ninh – Tỉnh Phú Thọ
Phòng nhân sự: Ms.Lien – 039 546 1125"
Công Ty TNHH TS Electrics Vina Tuyển dụng Nhân Viên QA,https://phutho.work/cong-ty-tnhh-ts-electrics-vina-tuyen-dung-nhan-vien-qa.html,Công Ty TNHH TS Electrics Vina,Thoả thuận,7/31/2025 17:00,Phù Ninh,"Công Ty TNHH TS Electrics Vina Điện thoại: 02102.493.333 / 94 Địa chỉ:Lô CN21, Cụm công nghiệp Tử Đà – An Đạo, Xã Bình Phú, Huyện Phù Ninh, Tỉnh Phú Thọ, Việt Nam
Lưu ý: Công ty không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ tại nút: ” NỘP HỒ SƠ”"
Công ty TNHH Hanyang Digitech Vina Thông báo Tuyển dụng Nhân viên...,https://phutho.work/cong-ty-tnhh-hanyang-digitech-vina-thong-bao-tuyen-dung-nhan-vien-kho.html,Công ty TNHH Hanyang Digitech Vina,Thoả thuận,8/15/2025 19:00,KCN Phú Hà,"Công ty TNHH Hanyang Digitech Vina Phòng Nhân sự: 0210 3822 825 / 0868 538 408 Địa chỉ: Lô CN 06- KCN Phú Hà – xã Hà Thạch – Thị xã Phú Thọ- tỉnh Phú Thọ.
Lưu ý: Công ty không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ tại nút: ” NỘP HỒ SƠ”"
Công ty TNHH YAKJIN Việt Nam Tuyển dụng Kế toán Tổng hợp,https://phutho.work/cong-ty-tnhh-yakjin-viet-nam-tuyen-dung-ke-toan-tong-hop.html,Công ty TNHH YAKJIN Việt Nam,Thoả thuận,8/15/2025 17:00,KCN Thụy Vân,"Công ty TNHH YAKJIN Việt Nam
Phòng Nhân sự: 0983.300.219
Địa chỉ: Lô B6, Khu Công nghiệp Thụy Vân, Xã Thụy Vân, Thành phố Việt Trì, Tỉnh Phú Thọ, Việt Nam
Lưu ý: Công ty không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ tại nút: ” NỘP HỒ SƠ”"
Công ty TNHH Almus Vina Thông báo Tuyển dụng Tổ trưởng sản...,https://phutho.work/cong-ty-tnhh-almus-vina-thong-bao-tuyen-dung-to-truong-san-xuat-nhan-vien-kho.html,CÔNG TY TNHH ALMUS VINA,Thoả thuận,8/15/2025 17:00,KCN Phú Hà,"Công ty TNHH Almus Vina Địa chỉ: Lô CN07A – KCN Phú Hà-Hà Thạch-Thị xã Phú Thọ. Phòng Nhân sự: 0210 3 950 999 (máy lẻ 182)
Lưu ý: Công ty không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ tại nút: ” NỘP HỒ SƠ”"
Công ty TNHH Bridgepower Vina Tuyển dụng Nhân viên Mua hàng,https://phutho.work/cong-ty-tnhh-bridgepower-vina-tuyen-dung-nhan-vien-mua-hang.html,Công ty TNHH Bridgepower Vina,Thoả thuận,8/15/2025 17:00,KCN Thụy Vân,"Công ty TNHH Bridgepower Vina Địa chỉ: Lô 9 – KCN Thụy Vân – TP Việt Trì – Tỉnh Phú Thọ. Điện thoại: 0210 3955655 / 101
Lưu ý: Công ty không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ tại nút: ” NỘP HỒ SƠ”"
Công ty Cổ phần Tập đoàn bao bì Avestar Thông báo Tuyển...,https://phutho.work/cong-ty-co-phan-tap-doan-bao-bi-avestar-thong-bao-tuyen-dung-nhan-vien-co-khi.html,Công ty CP Tập đoàn Bao bì AVESTAR,Thoả thuận,7/20/2025 17:00,KCN Lâm Thao,"Công ty Cổ phần Tập đoàn bao bì Avestar Địa chỉ: Lô A2- A3, CCN Hợp Hải, Phùng Nguyên, Lâm Thao, Phú Thọ Phòng Nhân sự: 0210 3686 369 – DD: 0382.415.897
Lưu ý: Công ty không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ tại nút: ” NỘP HỒ SƠ”"
Công ty cổ phần Quartz Việt Nam Tuyển dụng Nhân viên Cơ...,https://phutho.work/cong-ty-co-phan-quartz-viet-nam-tuyen-dung-nhan-vien-co-khi-dien.html,Công ty cổ phần Quartz Việt Nam,Thoả thuận,8/10/2025 17:00,KCN Thụy Vân,"Công ty cổ phần Quartz Việt Nam Địa chỉ: Lô B10 – KCN Thụy Vân – Việt Trì – Phú Thọ. Điện thoại: 0210 3858 559 / 0868.230.899
Lưu ý: Đơn vị không thu bất kỳ khoản chi phí nào liên quan đến Tuyển dụng. Nộp hồ sơ cuối tin nút: ” NỘP HỒ SƠ”
Theo dõi các kênh Hệ sinh thái Sàn dưới đây để tìm thêm các công việc mới mỗi ngày."
Công ty TNHH JH Vina Tuyển dụng Nhiều vị trí Quản lý...,https://phutho.work/cong-ty-tnhh-jh-vina-tuyen-dung-nhieu-vi-tri-quan-ly-san-xuat-qc-thiet-ke-ky-thuat-phien-dich-ehs-cong-nhan-san-xuat.html,Công ty TNHH JH Vina,Thoả thuận,8/15/2025 17:00,KCN Phú Hà,"Công ty TNHH JH Vina
Địa chỉ: Lô CN-07B, Khu công nghiệp Phú Hà, Xã Hà Lộc, Thị xã Phú Thọ, Tỉnh Phú Thọ
Điện thoại: 0977.504.883
Lưu ý: Nộp hồ sơ ngay dưới đây nút ” NỘP HỒ SƠ”. Công ty không thu bất kỳ khoản phí nào liên quan đến tuyển dụng. ……………………………..***…………………………….. HỆ SINH THÁI SÀN THÔNG TIN VIỆC LÀM PHUTHO.WOR Website chính : https://phutho.work Fanpage: https://www.facebook.com/phutho.work Group: https://www.facebook.com/groups/phuthowork Kênh thông báo: https://www.messenger.com/channel/phutho.work Tiktok : https://www.tiktok.com/@phuthowork ZALO: (Tổng hợp và thông báo nhanh các job theo khu vực địa lý và nhóm job theo ngành nghề) Group Zalo chung của tỉnh: Việc làm Phú Thọ (Sắp Full): https://zalo.me/g/ikdtrv252 Việt Trì: https://zalo.me/g/nzjktl402 Việt Trì 2 (còn Slot) : https://zalo.me/g/hbftpq494 Group Zalo các KCN: KCN Thụy Vân (Sắp Full): https://zalo.me/g/afaqmp373 KCN Phú Hà (Sắp Full): https://zalo.me/g/ixrvri499 KCN Lâm Thao: https://zalo.me/g/equpzz777 KCN Thanh Ba: https://zalo.me/g/qmhaxr093 KCN Đồng Lạng: https://zalo.me/g/hrifsn137 KCN Cẩm Khê: https://zalo.me/g/ybqtod749 KCN Tử Đà: https://zalo.me/g/jfertk905 KCN Đại An: https://zalo.me/g/caezan325 KCN Hạ Hòa: https://zalo.me/g/yugjfi001 KCN Trung Hà: https://zalo.me/g/wcyoys749 Group Zalo Chuyên môn: Kế toán – Nhân sự – Hành chính Nhân sự: https://zalo.me/g/spjvdb096 Kế toán – Nhân sự – Hành chính Nhân sự – Nhóm 2 (News): https://zalo.me/g/spjvdb096 Job Chất lượng cao: https://zalo.me/g/mgfiir349 Điện tử – Kỹ thuật – Cơ khí (Mới tạo): https://zalo.me/g/loqzle907 Digital Marketing – AI (Mới tạo – xu hướng mới): https://zalo.me/g/iqlplw695"
NHÀ MÁY MEIKO HOÀ BÌNH CHÍNH THỨC KHÁNH THÀNH DỰ KIẾN THU...,https://phutho.work/nha-may-meiko-hoa-binh-chinh-thuc-khanh-thanh-du-kien-thu-hut-khoang-2-000-lao-dong.html,,Thoả thuận,7/31/2025 19:00,Gần Phú Thọ,
