title,url,company,salary,deadline,location,lien_he
CÔNG TY CỔ PHẦN TÙNG CHI GROUP THÔNG BÁO TUYỂN DỤNG NHÂN...,https://vinhphuc.work/cong-ty-co-phan-tung-chi-group-thong-bao-tuyen-dung-nhan-vien-ke-toan-thue-ke-toan-vien-nhan-vien-hcns-tong-hop.html,CÔNG TY CỔ PHẦN TÙNG CHI GROUP,Từ 8-15 triệu,Đến khi tuyển đủ,"Tùng Chi Plaza, Số 1 Triệu Việt Vương- Phúc Thắng- Phúc Yên- Vĩnh Phúc...","Công ty cổ phần Tùng Chi Group
Địa chỉ: Tùng Chi Plaza, Số 1 Triệu Việt Vương- Phúc Thắng- Phúc Yên- Vĩnh Phúc (Cầu vượt Honda).
Điện thoại: 0913.033.991"
KHÔNG LÀM ĐÊM – CÔNG CỔ PHẦN MAY KLW TUYỂN DỤNG ĐẾN...,https://vinhphuc.work/khong-lam-dem-cong-co-phan-may-klw-tuyen-dung-den-18-vi-tri-dau-nam-2024.html,Công ty Cổ phần May KLW,Thoả thuận,Đến khi tuyển đủ,"Km9, Hai Bà Trưng, Phúc Thắng, Phúc Yên ( Đối Diện TOYOTA Phúc Yên)",
"SUNCAR GARA THÔNG BÁO TUYỂN DỤNG NHÂN VIÊN TELESALE, SALE ONLINE",https://vinhphuc.work/suncar-gara-thong-bao-tuyen-dung-nhan-vien-telesale-sale-online.html,Suncar Gara,5.000.000-20.000.000,30/03/2024,"Khu Trại Giao, đường Nguyễn Tất Thành, Khai Quang, Vĩnh Yên, Vĩnh Phúc.","SUNCAR GARA
Địa điểm làm việc: Khu Trại Giao, đường Nguyễn Tất Thành, Khai Quang, Vĩnh Yên, Vĩnh Phúc.
Hotline: 0326.125.125 Mr. Thiệu"
CÔNG TY TNHH SEMIOPT VN THÔNG BÁO TUYỂN DỤNG 09 VỊ TRÍ...,https://vinhphuc.work/cong-ty-tnhh-semiopt-vn-thong-bao-tuyen-dung-09-vi-tri-tot-dau-nam-2024.html,Công ty SEMIOPT VN,Thoả thuận,Đến 30/03/2024,"Lô CN01-3, Khu công nghiệp Bình Xuyên II, Thị trấn Bá Hiến, Huyện Bình...","Công ty TNHH Semiopt Vn
Liên hệ: HCNS: 0211.3.582.580
Địa chỉ: Lô CN01-3, Khu công nghiệp Bình Xuyên II, Thị trấn Bá Hiến, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc, Việt Nam"
Học Viện Nghệ Thuật AMA Thông báo Tuyển dụng Giảng viên Thanh...,https://vinhphuc.work/hoc-vien-nghe-thuat-ama-thong-bao-tuyen-dung-giang-vien-thanh-nhac.html,Học Viện Nghệ Thuật AMA,Thỏa thuận,Đến 30/03/2024,Số 2 Phan Trọng Tuệ- Phường Tích Sơn-TP. Vĩnh Yên- Tỉnh Vĩnh Phúc,"Học Viện Nghệ Thuật AMA
Địa chỉ: Số 2 Phan Trọng Tuệ- Phường Tích Sơn-TP. Vĩnh Yên- Tỉnh Vĩnh Phúc
Hotline: 03799.84.086"
Công ty Cổ phần Thương mại và Dịch vụ Logistics Đại Dương...,https://vinhphuc.work/cong-ty-co-phan-thuong-mai-va-dich-vu-logistics-dai-duong-tuyen-dung-nhan-vien-bao-ve.html,Công ty Cổ phần Thương mại và Dịch vụ Logistics Đại Dương,Thoả thuận thu hút,Đến 30/04/2024,"Kho ngoại quan công ty - KCN Bá Thiện 1, Bình Xuyên, Vĩnh Phúc",
NHÀ MÁY – CÔNG TY CỔ PHẦN TTC THÔNG BÁO TUYỂN DỤNG...,https://vinhphuc.work/nha-may-cong-ty-co-phan-ttc-thong-bao-tuyen-dung-cac-vi-tri-moi.html,Công Ty Cổ Phần TTC,Tuỳ vị trí,Đến 15/04/2024,"Thành phố Phúc Yên, Vĩnh Phúc","Công ty Cổ phần TTC
Địa chỉ: Lô CN6, KCN Phúc Yên, Phường Phúc Thắng,Tp Phúc Yên , Tỉnh Vĩnh Phúc
Điện thoại: 0915.284.006
Email: tuyendung@ttcceramic.com
Lưu ý: Công ty không thu bất kỳ chi phí nào liên quan đến Tuyển dụng.
Ứng viên nộp hồ sơ dưới nút: “NỘP HỒ SƠ” cuối tin."
Công ty TNHH Đầu Tư HM Việt Nam Thông báo Tuyển dụng...,https://vinhphuc.work/cong-ty-tnhh-dau-tu-hm-viet-nam-thong-bao-tuyen-dung-nhan-vien-ban-hang-cang-tin.html,Công ty TNHH Đầu tư HM Việt Nam,Thỏa thuận,Đến 30/04/2024,KCN Bá Thiện 1 - Bình Xuyên - Vĩnh Phúc,
CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ CƠ KHÍ ĐỨC...,https://vinhphuc.work/cong-ty-co-phan-dau-tu-xay-dung-va-co-khi-duc-phat-tuyen-dung-nhieu-vi-tri.html,"Công ty CP Đầu tư, Xây dựng và Cơ khí Đức Phát",Thỏa thuận,Đến 30/06/2024,"Km18, QL2A, Thị trấn Đạo Đức,Huyện Bình Xuyên, Tỉnh Vĩnh Phúc","Công ty Cổ phần Đầu tư Xây dựng và Cơ khí Đức Phát
Địa chỉ: Km18, QL2A, thị trấn Đạo Đức, huyện Bình Xuyên, tỉnh Vĩnh Phúc
Liên hệ: Ms Linh- 0354631762"
CÔNG TY TNHH SEMIOPT VN THÔNG BÁO TUYỂN DỤNG 05 VỊ TRÍ...,https://vinhphuc.work/cong-ty-tnhh-semiopt-vn-thong-bao-tuyen-dung-nhieu-vi-tri-tot-dau-nam-2024.html,Công ty SEMIOPT VN,Thoả thuận,Đến 30/03/2024,"Lô CN01-3, Khu công nghiệp Bình Xuyên II, Thị trấn Bá Hiến, Huyện Bình...","Công ty TNHH Semiopt Vn
Liên hệ: HCNS: 0211.3.582.580
Địa chỉ: Lô CN01-3, Khu công nghiệp Bình Xuyên II, Thị trấn Bá Hiến, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc, Việt Nam"
